A
AA
AAPL
ABBV
ABC
ABT
ACN
ADBE
ADI
ADM
ADP
ADSK
AEE
AEO
AEP
AES
AET
AFL
AGN
AIG
AIV
AIZ
AKAM
ALL
ALXN
AMAT
AMD
AMGN
AMP
AMT
AMZN
AN
ANF
AON
APA
APC
APD
APH
ARNA
ATI
ATVI
AVB
AVP
AVY
AXP
AZO
BA
BAC
BAX
BBBY
BBT
BBY
BDX
BEN
dd
BIG
BIIB
BK
BKS
BLK
BLL
BMS
BMY
BRK-B
BSX
BWA
BXP
C
CA
CAG
CAH
CAMP
CAT
CB
CBS
CCE
CCI
CCL
CELG
CERN
CF
CHK
CHRW
CI
CIM
CINF
CL
CLDX
CLF
CLX
CMA
CMCSA
CME
CMG
CMI
CMS
CNP
CNX
COF
COG
COL
COP
COST
CPB
CRM
CSCO
CSX
CTAS
CTL
CTSH
CTXS
CVS
CVX
D
DAL
DDS
DE
DF
DFS
DG
DGX
DHI
DHR
DIS
DISCA
DKS
DLPH
DLTR
DLX
DNB
DNR
DO
DOV
DRI
DSW
DTE
DUK
DVA
DVN
EA
EBAY
ECL
ECYT
ED
EFX
EIX
EL
EMN
EMR
EOG
EQR
EQT
ESRX
ESV
ETFC
ETN
ETR
EW
EXC
EXPD
EXPE
EXPR
F
FAST
FB
FCX
FDX
FE
FFIV
FHN
FIS
FISV
FITB
FL
FLIR
FLR
FLS
FLWS
FMC
FOSL
FSLR
FTI
FTR
GCI
GD
GE
GES
GILD
GIS
GLW
GM
GME
GNW
GOOG
GPC
GPS
GRMN
GRPN
GS
GT
GTN
GWW
HAL
HAS
HBAN
HCP
HD
HES
HIG
HOG
HON
HOV
HP
HPQ
HRB
HRL
HRS
HST
HSY
HTZ
HUM
IBM
ICE
IFF
IGT
INTC
INTU
IP
IPG
IR
IRM
ISRG
ITW
IVZ
JBL
JCI
JCP
JEC
JNJ
JNPR
JPM
JWN
K
KEY
KIM
KLAC
KMB
KMI
KMX
KO
KR
KSS
KSU
L
LEG
LEN
LH
LLL
LLY
LM
LMT
LNC
LOW
LRCX
LSI
LUV
LYB
M
MA
MAC
MAR
MAS
MAT
MCD
MCHP
MCK
MCO
MDLZ
MDT
MET
MGM
MKC
MMC
MMM
MNST
MO
MOLX
MOS
MPC
MRK
MRO
MS
MSFT
MSI
MTB
MU
MUR
MYL
NBL
NBR
NDAQ
NE
NEE
NEM
NFLX
NFX
NI
NKE
NLY
NOC
NOK
NOV
NRG
NSC
NTAP
NTRI
NTRS
NUE
NUS
NVDA
NWL
NWSA
NYX
OI
OKE
OMC
ORCL
ORLY
OXY
P
PAYX
PBCT
PBI
PCAR
PCG
PDCO
PEG
PEP
PETS
PFE
PFG
PG
PGR
PH
PHM
PKI
PLD
PM
PNC
PNR
PNW
PPG
PPL
PRGO
PRU
PSA
PSX
PWR
PX
PXD
QCOM
QDEL
QEP
R
RDC
RF
RHI
RHT
RL
ROK
ROP
ROST
RRC
RSG
RSH
RTN
S
SAI
SBUX
SCG
SCHL
SCHW
SEE
SFLY
SHW
SIRI
SJM
SKS
SLB
SLM
SNA
SNE
SNI
SO
SPG
SRCL
SRE
STI
STT
STX
STZ
SWK
SWN
SYK
SYMC
SYY
T
TAP
TDC
TEL
TER
TGT
THC
TIF
TJX
TM
TMO
TRIP
TROW
TRV
TSLA
TSN
TSS
TWX
TXN
TXT
UNH
UNM
UNP
UPS
URBN
USB
UTX
V
VALE
VAR
VFC
VIAB
VLO
VMC
VNO
VRSN
VTR
VZ
WAT
WDC
WEC
WFC
WGO
WHR
WIN
WM
WMB
WMT
WPX
WTW
WU
WY
WYNN
X
XEL
XL
XLNX
XOM
XRAY
XRX
XYL
YUM
ZION
ZNGA
